entropy_type,entropy
correct train,0.49315584
correct train,0.23398164
correct train,0.57732785
correct train,0.3809296
correct train,0.56448627
correct train,0.008499448
correct train,0.00088943256
correct train,0.621526
correct train,0.4409315
correct train,0.3542329
correct train,0.021242464
correct train,0.31183553
correct train,0.2857888
correct train,0.15042073
correct train,0.27309322
correct train,0.4507885
correct train,0.0010145415
correct train,0.47736394
correct train,0.27330157
correct train,0.0011779878
correct train,0.07067904
correct train,0.08593117
correct train,0.016176319
correct train,0.30286497
correct train,0.45256928
correct train,0.05910872
correct train,0.18685037
correct train,0.12661019
correct train,0.5331409
correct train,0.03368554
correct train,0.20012769
correct train,0.02518434
correct train,0.27322942
correct train,0.29343492
correct train,8.1580125e-05
correct train,0.014536915
correct train,0.69284546
correct train,0.48361894
correct train,0.32992834
correct train,2.1710273e-06
correct train,0.31472838
correct train,0.677214
correct train,0.16171826
correct train,0.00015067203
correct train,0.509918
correct train,0.47642165
correct train,0.33138728
correct train,0.61662436
correct train,0.39090303
correct train,0.10316589
correct train,0.29062372
correct train,0.27231234
correct train,0.0036969404
correct train,0.34913275
correct train,0.5469194
correct train,0.29784048
correct train,0.023599863
correct train,0.29314864
correct train,0.03368554
correct train,0.13597485
correct train,0.66778666
correct train,0.23811698
correct train,0.0024916334
correct train,0.12988442
correct train,0.35799667
correct train,0.5953677
correct train,0.28171128
correct train,0.54578525
correct train,0.50898015
correct train,0.028849535
correct train,0.64521664
correct train,0.43033823
correct train,0.36060378
correct train,0.5379677
correct train,0.49383333
correct train,0.58989954
correct train,0.64730537
correct train,0.2625236
correct train,0.32464847
correct train,0.33815134
correct train,0.18274343
correct train,0.48344857
correct train,0.052188925
correct train,0.42186052
correct train,0.42370474
correct train,0.0036977532
correct train,0.6744917
correct train,0.071491115
correct train,0.30708185
correct train,0.566568
correct train,0.51850915
correct train,0.0010641833
correct train,0.5677353
correct train,0.69290954
correct train,0.1921312
correct train,0.24158287
correct train,0.28679946
correct train,0.5071954
correct train,0.27905574
correct train,0.16708371
correct train,0.4200214
correct train,0.69238317
correct train,0.60917526
correct train,0.11862315
correct train,0.19986123
correct train,0.6507739
correct train,0.57506573
correct train,0.32457024
correct train,0.5295599
correct train,4.9002694e-05
correct train,0.44519645
correct train,0.014477502
correct train,0.6921923
correct train,0.08365247
correct train,0.28709704
correct train,0.0014393523
correct train,0.0008954787
correct train,0.26793528
correct train,0.3719077
correct train,0.58469737
correct train,0.24328998
correct train,0.6299383
correct train,0.23753214
correct train,0.3043726
correct train,0.5987376
correct train,0.22559424
correct train,0.025599934
correct train,0.33049726
correct train,0.16078441
correct train,0.20819955
correct train,0.4780097
correct train,0.57350963
correct train,0.32082498
correct train,3.6517467e-06
correct train,0.5449346
correct train,0.65059775
correct train,0.23397729
correct train,2.7958087e-11
correct train,0.27159348
correct train,0.33248973
correct train,0.66352373
correct train,0.35404626
correct train,0.2068928
correct train,0.2619143
correct train,0.2383728
correct train,0.49926832
correct train,0.60445607
correct train,0.00018967938
correct train,4.9360988e-05
correct train,0.05332176
correct train,0.4305114
correct train,0.53974223
correct train,0.52357274
correct train,0.03368554
correct train,0.13837111
correct train,0.26532888
correct train,0.2795245
correct train,0.25971344
correct train,0.3835495
correct train,0.08350888
correct train,0.111865036
correct train,0.4541788
correct train,0.4965219
correct train,0.31820938
correct train,0.0016502282
correct train,0.57329625
correct train,0.5458602
correct train,0.0006547747
correct train,0.2249449
correct train,0.24695481
correct train,0.27427015
correct train,0.613124
correct train,0.00016731591
correct train,0.006901978
correct train,0.0012840605
correct train,0.090251654
correct train,0.6335956
correct train,0.08402258
correct train,0.076126054
correct train,0.5849943
correct train,0.37498796
correct train,0.3443471
correct train,0.40962303
correct train,8.615404e-17
correct train,0.5665625
correct train,0.0007078006
correct train,0.00088943256
correct train,0.037195068
correct train,0.54708725
correct train,0.6342575
correct train,0.3508418
correct train,0.0021958554
correct train,0.35418457
correct train,0.57906353
correct train,0.03931668
correct train,0.4743302
correct train,0.020434795
correct train,0.6271093
correct train,0.66222405
correct train,0.20621252
correct train,0.0682396
correct train,0.37648258
correct train,0.2899923
correct train,0.5224967
correct train,0.026402038
correct train,0.35059345
correct train,0.6491431
correct train,0.006775691
correct train,0.25851068
correct train,0.42767656
correct train,0.05714218
correct train,0.37653086
correct train,0.2868886
correct train,0.26866964
correct train,0.38531426
correct train,0.5707629
correct train,0.0033625436
correct train,0.3788159
correct train,0.04058745
correct train,0.22803295
correct train,3.915134e-06
correct train,0.4030888
correct train,0.17584336
correct train,1.31212055e-08
correct train,0.4035378
correct train,0.6103393
correct train,0.67280453
correct train,0.023458855
correct train,0.5715594
correct train,0.35099664
correct train,0.6284473
correct train,0.36226737
correct train,0.34645185
correct train,0.30564103
correct train,0.31139514
correct train,0.4090955
correct train,0.18952997
correct train,0.22145739
correct train,0.29269078
correct train,0.52728224
correct train,0.47459763
correct train,0.25310892
correct train,8.615404e-17
correct train,0.25507253
correct train,0.47272322
correct train,0.3593293
correct train,0.07423416
correct train,0.03368554
correct train,0.26192638
correct train,0.0002249302
correct train,0.47272322
correct train,0.54752123
correct train,0.28410104
correct train,0.49305105
correct train,0.2870052
correct train,0.35164535
correct train,0.22185701
correct train,0.08708432
correct train,0.02946145
correct train,0.26109287
correct train,0.5337932
correct train,0.4108162
correct train,0.37590984
correct train,0.18053412
correct train,0.05601094
correct train,0.17424121
correct train,0.005896129
correct train,0.52484727
correct train,0.62010205
correct train,0.6863519
correct train,0.25590932
correct train,0.03368554
correct train,0.5261315
correct train,0.00088943256
correct train,0.0009496041
correct train,0.69280505
correct train,0.045416947
correct train,0.18321505
correct train,0.23265237
correct train,0.25890803
correct train,0.3432125
correct train,0.21718332
correct train,0.5228635
correct train,0.4532322
correct train,0.6353473
correct train,0.4459861
correct train,0.2847229
correct train,0.4024215
correct train,0.26547232
correct train,0.0029552178
correct train,0.4743302
correct train,0.0033968885
correct train,0.35058188
correct train,0.3747126
correct train,0.487271
correct train,0.5133179
