model,attack,epsilon,distance_class_0,distance_class_1,wasserstein_class0,wasserstein_class1
spambase_generic_400,DF_Linf,0.01,1.4540388584136963,1.2134459018707275,0.2802276291326054,0.2881089315347511
spambase_generic_400,DF_Linf,0.05,1.4223906993865967,1.5394327640533447,0.27759991235442677,0.30832017893578334
spambase_generic_400,DF_Linf,0.1,1.3963545560836792,1.2425763607025146,0.27299102963939226,0.2989678041125061
spambase_generic_400,BIM_Linf,0.01,1.3984484672546387,1.4907646179199219,0.2841128333423052,0.31769922986860155
spambase_generic_400,BIM_Linf,0.05,1.476423740386963,1.3978345394134521,0.2781824716022696,0.31163602835370946
spambase_generic_400,BIM_Linf,0.1,1.2725824117660522,1.2936254739761353,0.2772703716177041,0.30331326972668327
spambase_generic_500,FGSM,0.01,1.3745592832565308,1.7037405967712402,0.28765766668625364,0.33086091365699694
spambase_generic_500,FGSM,0.05,1.6158791780471802,1.8096932172775269,0.2995880992885272,0.3263796868936495
spambase_generic_500,FGSM,0.1,1.3922319412231445,1.8427098989486694,0.2962265342638987,0.32245539640949417
spambase_generic_500,DF_L2,0.01,1.2735414505004883,1.4337717294692993,0.3188023566632133,0.30879953234880253
spambase_generic_500,DF_L2,0.05,1.2560087442398071,1.594686508178711,0.3219572922480819,0.3271603069862147
spambase_generic_500,DF_L2,0.1,1.2785606384277344,1.521000623703003,0.2993162202965853,0.3387834153092845
spambase_generic_500,DF_Linf,0.01,1.3597381114959717,1.801818609237671,0.2759837898665422,0.3307665050706236
spambase_generic_500,DF_Linf,0.05,1.4432607889175415,1.6578422784805298,0.2804929946779453,0.30592125362210987
spambase_generic_500,DF_Linf,0.1,1.4458492994308472,1.7806230783462524,0.27008853047068154,0.32254883023387404
spambase_generic_500,BIM_Linf,0.01,1.292427897453308,1.7745983600616455,0.283509098813915,0.3383031170111998
spambase_generic_500,BIM_Linf,0.05,1.2314872741699219,1.716403603553772,0.27095051854002233,0.3249908902306798
spambase_generic_500,BIM_Linf,0.1,1.5121760368347168,1.6402932405471802,0.31053336726448005,0.3399805090718176
spambase_generic_600,FGSM,0.01,1.4740166664123535,1.614384651184082,0.3110277107714693,0.3131745637665162
spambase_generic_600,FGSM,0.05,1.3906805515289307,1.3818254470825195,0.31060238218103164,0.2933767991500579
spambase_generic_600,FGSM,0.1,1.3280034065246582,1.63344407081604,0.29549292513755976,0.30746541243728187
spambase_generic_600,DF_L2,0.01,1.087424635887146,1.8748576641082764,0.29970017997836523,0.33571486218182206
spambase_generic_600,DF_L2,0.05,1.0828619003295898,1.9260231256484985,0.27718695319944064,0.3158594476386207
spambase_generic_600,DF_L2,0.1,1.3097844123840332,1.691455364227295,0.30792274755417803,0.3213466080176263
spambase_generic_600,DF_Linf,0.01,1.3720331192016602,1.5589255094528198,0.28943956501003226,0.30458753179819154
spambase_generic_600,DF_Linf,0.05,1.5722589492797852,1.810904860496521,0.3013847888280351,0.3177210491853118
spambase_generic_600,DF_Linf,0.1,1.295902132987976,1.5142167806625366,0.28972006872868783,0.2954507203922543
spambase_generic_600,BIM_Linf,0.01,1.534179925918579,1.8286371231079102,0.30381056782126237,0.3086676040067061
spambase_generic_600,BIM_Linf,0.05,1.3199423551559448,1.4412399530410767,0.2937578254430814,0.298948313181687
spambase_generic_600,BIM_Linf,0.1,1.3463138341903687,1.5593955516815186,0.31001686759062824,0.3041579907437213
spambase_generic_700,FGSM,0.01,1.3537330627441406,1.523145318031311,0.2890560290971999,0.3103512602951588
spambase_generic_700,FGSM,0.05,1.3467304706573486,1.5558651685714722,0.2684848553389254,0.3220641413579872
spambase_generic_700,FGSM,0.1,1.2251099348068237,1.4290618896484375,0.27178297101131793,0.3174856193466827
spambase_generic_700,DF_L2,0.01,1.0559272766113281,1.2844072580337524,0.3040475992476922,0.3393961182363865
spambase_generic_700,DF_L2,0.05,1.2305940389633179,1.4612897634506226,0.29234986252394707,0.3420400550772331
spambase_generic_700,DF_L2,0.1,0.9911692142486572,1.6035568714141846,0.29102509309558666,0.3484980302683481
spambase_generic_700,DF_Linf,0.01,1.2901781797409058,1.5882148742675781,0.2646905885201343,0.32503943850576683
spambase_generic_700,DF_Linf,0.05,1.4212607145309448,1.4330202341079712,0.2868477969484268,0.31606357596843543
spambase_generic_700,DF_Linf,0.1,1.2976700067520142,1.3981225490570068,0.26706113509122353,0.3041519769819344
spambase_generic_700,BIM_Linf,0.01,1.2638932466506958,1.3018383979797363,0.28140224136805714,0.3021573711702729
spambase_generic_700,BIM_Linf,0.05,1.2239903211593628,1.4668296575546265,0.29199038196309385,0.34721537630853194
spambase_generic_700,BIM_Linf,0.1,1.287556767463684,1.3377612829208374,0.28951964757611637,0.29834361477721005
